#Addr, Size, Enable addr
0x000004,5,
0x000020,3,
0x000030,3,
0x000040,13,
0x000078,4,
0x00009c,25,
0x000104,5,
0x000120,3,
0x000130,3,
0x000140,13,
0x000178,4,
0x00019c,25,
0x000204,5,
0x000220,3,
0x000230,3,
0x000240,13,
0x000278,4,
0x00029c,25,
0x000304,5,
0x000320,3,
0x000330,3,
0x000340,13,
0x000378,4,
0x00039c,25,
0x000600,4,
0x000c00,24,
0x000c80,24,
0x000d00,24,
0x000d80,24,
0x000e00,4,
0x000e20,4,
0x000e40,4,
0x000e60,4,
0x000e80,39,
0x000f20,7,
0x000f40,7,
0x000f60,7,
0x001000,12,
0x001200,1,
0x001218,2,
0x00122c,1,
0x001280,1,
0x001298,2,
0x0012ac,1,
0x001300,1,
0x001318,2,
0x00132c,1,
0x001380,1,
0x001398,2,
0x0013ac,1,
0x001400,4,
0x001420,2,
0x00142c,1,
0x001480,4,
0x0014a0,2,
0x0014ac,1,
0x001500,4,
0x001520,2,
0x00152c,1,
0x001580,4,
0x0015a0,2,
0x0015ac,1,
0x001600,4,
0x001640,4,
0x001680,4,
0x0016c0,4,
0x001700,7,
0x001720,7,
0x001740,7,
0x001760,7,
0x001780,4,
0x00179c,11,
0x0017d0,2,
0x0017e0,2,
0x0017f0,2,
0x001900,44,
0x002000,7,
0x002020,4,
0x002040,4,
0x002060,7,
0x002080,7,
0x0020a0,4,
0x0020c0,4,
0x0020e0,7,
0x002100,7,
0x002120,4,
0x002140,4,
0x002160,7,
0x002180,7,
0x0021a0,4,
0x0021c0,4,
0x0021e0,7,
0x002200,32,
0x002b00,1,
0x002b20,1,
0x002b28,4,
0x002b40,1,
0x002b60,1,
0x002b68,4,
0x002b80,1,
0x002ba0,1,
0x002ba8,4,
0x002bc0,1,
0x002be0,1,
0x002be8,4,
0x002c00,7,
0x002c20,1,
0x002c54,18,
0x002ca0,1,
0x002cd4,18,
0x002d20,1,
0x002d54,18,
0x002da0,1,
0x002dd4,12,
0x002e08,6,
0x003100,7,
0x003120,7,
0x003140,7,
0x003160,7,
0x003180,3,
0x004004,5,
0x004020,3,
0x004030,3,
0x004040,13,
0x004078,4,
0x00409c,25,
0x004104,5,
0x004120,3,
0x004130,3,
0x004140,13,
0x004178,4,
0x00419c,25,
0x004204,5,
0x004220,3,
0x004230,3,
0x004240,13,
0x004278,4,
0x00429c,25,
0x004304,5,
0x004320,3,
0x004330,3,
0x004340,13,
