#Addr, Size, Enable addr
0x000000,3,
0x000010,1,
0x000020,6,
0x000040,1,
0x000048,1,
0x000050,1,
0x000060,2,
0x000080,2,
0x000140,5,
0x00015c,1,
0x000180,2,
0x0001a0,1,
0x0001a8,1,
0x0001e0,1,
0x000200,2,
0x000244,1,
0x000260,5,
0x000280,5,
0x0002a0,2,
0x000304,1,
0x000400,3,
0x000410,1,
0x000420,6,
0x000440,1,
0x000448,1,
0x000450,1,
0x000460,2,
0x000480,2,
0x000540,5,
0x00055c,1,
0x000580,2,
0x0005a0,1,
0x0005a8,1,
0x0005e0,1,
0x000600,2,
0x000644,1,
0x000660,5,
0x000680,5,
0x0006a0,2,
0x000704,1,
0x000800,3,
0x000810,1,
0x000820,6,
0x000840,1,
0x000848,1,
0x000850,1,
0x000860,2,
0x000880,2,
0x000940,5,
0x00095c,1,
0x000980,2,
0x0009a0,1,
0x0009a8,1,
0x0009e0,1,
0x000a00,2,
0x000a44,1,
0x000a60,5,
0x000a80,5,
0x000aa0,2,
0x000b04,1,
0x000c00,3,
0x000c10,1,
0x000c20,6,
0x000c40,1,
0x000c48,1,
0x000c50,1,
0x000c60,2,
0x000c80,2,
0x000d40,5,
0x000d5c,1,
0x000d80,2,
0x000da0,1,
0x000da8,1,
0x000de0,1,
0x000e00,2,
0x000e44,1,
0x000e60,5,
0x000e80,5,
0x000ea0,2,
0x000f04,1,
0x001000,1,
0x001040,13,
0x002004,1,
0x002010,6,
0x002030,2,
0x002040,3,
0x002050,5,
0x002080,1,
0x002088,20,
0x0020dc,1,
0x002100,3,
0x002110,3,
0x002120,3,
0x002130,3,
0x002140,3,
0x002150,3,
0x002160,6,
0x002180,4,
0x0021d0,1,
0x0021e0,2,
0x0021f0,3,
0x002204,1,
0x00220c,2,
0x002218,1,
0x004000,3,
0x004010,1,
0x004100,2,
0x00f014,2,
0x0f0014,1,
