#Addr, Size, Enable addr
0x000000,11,
0x000040,1,
0x000100,8,
0x000140,15,
0x000180,2,
0x00018c,2,
0x0001a0,3,
0x000200,2,
0x000210,10,
0x000240,2,
0x000400,1,
0x000410,3,
0x000420,2,
0x000430,3,
0x000440,6,
0x000800,11,
0x000840,1,
0x000900,8,
0x000940,15,
0x000980,2,
0x00098c,2,
0x0009a0,3,
0x000a00,2,
0x000a10,10,
0x000a40,2,
0x000c00,1,
0x000c10,3,
0x000c20,2,
0x000c30,3,
0x000c40,6,
0x001000,11,
0x001040,1,
0x001100,8,
0x001140,15,
0x001180,2,
0x00118c,2,
0x0011a0,3,
0x001200,2,
0x001210,10,
0x001240,2,
0x001400,1,
0x001410,3,
0x001420,2,
0x001430,3,
0x001440,6,
0x001800,11,
0x001840,1,
0x001900,8,
0x001940,15,
0x001980,2,
0x00198c,2,
0x0019a0,3,
0x001a00,2,
0x001a10,10,
0x001a40,2,
0x001c00,1,
0x001c10,3,
0x001c20,2,
0x001c30,3,
0x001c40,6,
0x002000,11,
0x002040,1,
0x002100,8,
0x002140,15,
0x002180,2,
0x00218c,2,
0x0021a0,3,
0x002200,2,
0x002210,10,
0x002240,2,
0x002400,1,
0x002410,3,
0x002420,2,
0x002430,3,
0x002440,6,
0x002800,11,
0x002840,1,
0x002900,8,
0x002940,15,
0x002980,2,
0x00298c,2,
0x0029a0,3,
0x002a00,2,
0x002a10,10,
0x002a40,2,
0x002c00,1,
0x002c10,3,
0x002c20,2,
0x002c30,3,
0x002c40,6,
0x003000,11,
0x003040,1,
0x003100,8,
0x003140,15,
0x003180,2,
0x00318c,2,
0x0031a0,3,
0x003200,2,
0x003210,10,
0x003240,2,
0x003400,1,
0x003410,3,
0x003420,2,
0x003430,3,
0x003440,6,
0x003800,11,
0x003840,1,
0x003900,8,
0x003940,15,
0x003980,2,
0x00398c,2,
0x0039a0,3,
0x003a00,2,
0x003a10,10,
0x003a40,2,
0x003c00,1,
0x003c10,3,
0x003c20,2,
0x003c30,3,
0x003c40,6,
0x004000,5,
0x004020,1,
0x004080,4,
0x0040a0,11,
0x004100,3,
0x004110,5,
0x004200,3,
0x004240,4,
0x004260,6,
0x004280,13,
0x004300,2,
0x004310,3,
0x004320,2,
0x004340,2,
0x00434c,2,
0x004400,5,
0x004420,1,
0x004480,4,
0x0044a0,11,
0x004500,3,
0x004510,5,
0x004600,3,
0x004640,4,
0x004660,6,
0x004680,13,
0x004700,2,
0x004710,3,
0x004720,2,
0x004740,2,
0x00474c,2,
0x004800,5,
0x004820,1,
0x004880,4,
0x0048a0,11,
0x004900,3,
0x004910,5,
0x004a00,3,
0x004a40,4,
0x004a60,6,
0x004a80,13,
0x004b00,2,
0x004b10,3,
0x004b20,2,
0x004b40,2,
0x004b4c,2,
0x004c00,5,
0x004c20,1,
0x004c80,4,
0x004ca0,11,
0x004d00,3,
0x004d10,5,
0x004e00,3,
0x004e40,4,
0x004e60,6,
0x004e80,13,
0x004f00,2,
0x004f10,3,
0x004f20,2,
0x004f40,2,
0x004f4c,2,
0x005000,5,
0x005020,1,
0x005080,4,
0x0050a0,11,
0x005100,3,
0x005110,5,
0x005200,3,
0x005240,4,
0x005260,6,
0x005280,13,
0x005300,2,
0x005310,3,
0x005320,2,
0x005340,2,
0x00534c,2,
0x005400,5,
0x005420,1,
0x005480,4,
