#Addr, Size, Enable addr
0x000000,16384,
0x040000,4,
0x044000,132,
0x044280,4,
0x0442bc,5,
0x0442fc,19,
0x044360,7,
0x044380,2,
0x04438c,2,
0x0443a0,1,
0x044404,4,
0x044420,3,
0x044430,7,
0x044480,4,
0x0444a0,5,
0x0444c0,1,
0x044500,1,
0x044804,5,
0x044820,1,
0x044828,6,
0x044880,5,
0x0448bc,6,
0x0448fc,12,
0x044930,1,
0x044a00,6,
0x044a20,6,
0x044a40,13,
0x044a80,4,
0x044b00,262,
0x045000,258,
0x045804,1,
0x045814,8,
0x045840,1,
0x045880,1,
0x0458a4,5,
0x0458c0,6,
0x0458e0,77,
0x045a18,69,
0x045b30,2,
0x045b84,21,
0x045c00,8,
0x045c40,4,
0x045c60,7,
0x045c80,7,
0x045d00,6,
0x045d20,6,
0x045d40,6,
0x045d64,1,
0x045d70,4,
0x045d84,5,
0x045da4,1,
0x045dac,3,
0x045dbc,1,
0x045e04,5,
0x045e24,3,
0x045e34,5,
0x045f04,37,
0x046000,1,
0x046008,4,
0x046080,14,
0x0460c0,14,
0x046100,8,
0x046200,1,
0x050000,18,
0x050050,2,
0x050060,2,
0x050070,2,
0x050080,3,
0x050090,1,
0x050098,1,
0x0500a0,1,
0x0500a8,12,
0x050100,8,
0x050140,8,
0x050180,8,
0x0501c0,8,
0x050200,15,
0x050400,9,
0x050440,1,
0x050460,17,
0x0504c0,1,
0x0504e0,17,
0x050540,1,
0x050560,8,
0x050588,2,
0x050598,2,
0x050600,3,
0x050610,14,
0x050660,6,
0x050680,5,
0x050700,6,
0x050720,6,
0x050740,17,
0x050800,2,
0x051000,1,
0x051404,1,
0x05140c,1,
0x051444,15,
0x051484,1,
0x0514bc,19,
0x051600,6,
0x051624,1,
0x05162c,2,
0x051644,8,
0x051800,2,
0x051844,1,
0x051854,13,
0x0518a4,1,
0x0518b0,44,
0x051964,1,
0x051974,6,
0x051994,3,
0x0519c0,1,
0x0519d0,4,
0x0519e4,6,
0x051a00,3,
0x051a24,4,
0x051a40,6,
0x051c00,1,
0x051c0c,2,
0x051c80,11,
0x051cc0,11,
0x051d00,1,
0x051d40,11,
0x051d80,8,
0x052000,169,
0x0522a8,19,
0x0522f8,32,
0x054000,3,
0x054010,3,
0x054020,3,
0x054030,3,
0x054040,3,
0x054050,3,
0x054060,3,
0x054070,3,
0x054080,3,
0x054090,3,
0x0540a0,3,
0x0540b0,3,
0x0540c0,3,
0x0540d0,3,
0x0540e0,3,
0x0540f0,3,
0x054100,3,
0x054110,3,
0x054120,6,
0x054140,6,
0x054160,6,
0x054180,6,
0x0541a0,6,
0x0541c0,6,
0x0541e0,6,
0x054200,6,
0x054220,6,
0x054240,6,
0x054260,6,
0x054280,6,
0x0542a0,6,
0x0542c0,6,
0x0542e0,6,
0x054300,6,
0x054320,6,
0x054340,6,
0x054360,6,
0x054380,6,
0x0543a0,6,
0x0543c0,6,
0x0543e0,6,
0x054400,6,
0x054420,6,
0x054440,6,
0x054460,6,
0x054480,6,
0x0544a0,6,
0x0544c0,6,
0x0544e0,6,
0x054500,6,
0x054520,6,
0x054540,6,
0x054560,6,
0x054580,6,
0x0545a0,6,
0x0545c0,6,
0x0545e0,6,
0x054600,6,
0x054620,6,
0x054640,6,
0x054660,6,
0x054680,6,
0x0546a0,6,
0x0546c0,6,
0x0546e0,6,
0x054700,6,
0x054720,6,
0x054740,6,
0x054760,6,
0x054780,6,
0x0547a0,6,
0x0547c0,6,
0x0547e0,6,
0x054800,6,
0x054820,6,
0x054840,6,
0x054860,6,
0x054880,6,
0x0548a0,6,
0x0548c0,6,
0x0548e0,6,
0x054900,6,
0x054920,6,
0x054940,6,
0x054960,6,
0x054980,6,
0x0549a0,6,
0x0549c0,6,
0x0549e0,6,
0x054a00,6,
0x054a20,6,
0x054a40,6,
0x054a60,6,
0x054a80,6,
0x054aa0,6,
0x054ac0,6,
0x054ae0,6,
0x054b00,6,
0x054b20,6,
0x054b40,6,
0x054b60,6,
0x054b80,6,
0x054ba0,6,
0x054bc0,6,
0x054be0,6,
0x054c00,6,
0x054c20,6,
0x054c40,6,
0x054c60,6,
0x054c80,6,
0x054ca0,6,
0x054cc0,6,
0x054ce0,6,
0x054d00,6,
0x054d20,6,
0x054d40,6,
0x054d60,6,
0x054d80,6,
0x054da0,6,
0x054dc0,6,
0x054de0,6,
0x054e00,6,
0x054e20,6,
0x054e40,6,
0x054e60,6,
0x054e80,6,
0x054ea0,6,
0x054ec0,6,
0x054ee0,6,
0x054f00,6,
0x054f20,6,
0x054f40,6,
0x054f60,6,
0x054f80,6,
0x054fa0,6,
0x054fc0,6,
0x054fe0,6,
0x055000,6,
0x055020,6,
0x055040,6,
0x055060,6,
0x055080,6,
