# addr, size, enable addr
0x000000,5,
0x000018,1,
0x000020,1,
0x000030,2,
0x000084,8,UNKNOWN
0x0000a8,12,UNKNOWN
0x0000dc,1,UNKNOWN
0x0000f4,8,UNKNOWN
0x000118,1,
0x000120,1,
0x000130,2,
0x000180,9,UNKNOWN
0x0001a8,12,UNKNOWN
0x0001dc,1,UNKNOWN
0x0001f4,8,UNKNOWN
0x000218,1,
0x000220,1,
0x000230,2,
0x000280,9,UNKNOWN
0x0002a8,12,UNKNOWN
0x0002dc,1,UNKNOWN
0x0002f4,15,UNKNOWN
0x000400,15,UNKNOWN
0x000440,4,UNKNOWN
0x000500,7,UNKNOWN
0x000520,1,UNKNOWN
0x000530,2,UNKNOWN
0x000540,4,UNKNOWN
0x000554,2,UNKNOWN
0x000560,4,UNKNOWN
0x000574,1,UNKNOWN
0x00057c,4,UNKNOWN
0x000590,9,UNKNOWN
0x0005c0,4,UNKNOWN
0x0005d4,3,UNKNOWN
0x0005e4,1,UNKNOWN
0x0005ec,1,UNKNOWN
0x000600,7,UNKNOWN
0x000620,1,UNKNOWN
0x000630,2,UNKNOWN
0x000640,4,UNKNOWN
0x000654,2,UNKNOWN
0x000660,4,UNKNOWN
0x000674,1,UNKNOWN
0x00067c,4,UNKNOWN
0x000690,9,UNKNOWN
0x0006c0,4,UNKNOWN
0x0006d4,3,UNKNOWN
0x0006e4,1,UNKNOWN
0x0006ec,1,UNKNOWN
0x000700,7,UNKNOWN
0x000720,1,UNKNOWN
0x000730,2,UNKNOWN
0x000740,4,UNKNOWN
0x000754,2,UNKNOWN
0x000760,4,UNKNOWN
0x000774,1,UNKNOWN
0x00077c,4,UNKNOWN
0x000790,9,UNKNOWN
0x0007c0,4,UNKNOWN
0x0007d4,3,UNKNOWN
0x0007e4,1,UNKNOWN
0x0007ec,1,UNKNOWN
0x000800,2,UNKNOWN
0x00080c,3,UNKNOWN
0x00081c,1,UNKNOWN
0x000828,1,UNKNOWN
0x000840,4,UNKNOWN
0x000854,4,UNKNOWN
0x000880,3,UNKNOWN
0x000890,2,UNKNOWN
0x000900,1,UNKNOWN
0x000908,1,UNKNOWN
0x000910,2,UNKNOWN
0x00091c,4,UNKNOWN
0x000940,13,UNKNOWN
0x000980,10,UNKNOWN
0x0009c0,5,UNKNOWN
0x0009e0,1,UNKNOWN
0x0009f0,2,UNKNOWN
0x000a00,1,UNKNOWN
0x000a10,2,UNKNOWN
0x000a20,1,UNKNOWN
0x000a30,2,UNKNOWN
0x000a40,2,UNKNOWN
0x000c00,2,UNKNOWN
0x000c0c,3,UNKNOWN
0x000c1c,1,UNKNOWN
0x000c28,1,UNKNOWN
0x000c40,4,UNKNOWN
0x000c54,4,UNKNOWN
0x000c80,3,UNKNOWN
0x000c90,2,UNKNOWN
0x000d00,1,UNKNOWN
0x000d08,1,UNKNOWN
0x000d10,2,UNKNOWN
0x000d1c,4,UNKNOWN
0x000d40,13,UNKNOWN
0x000d80,10,UNKNOWN
0x000dc0,5,UNKNOWN
0x000de0,1,UNKNOWN
0x000df0,2,UNKNOWN
0x000e00,1,UNKNOWN
0x000e10,2,UNKNOWN
0x000e20,1,UNKNOWN
0x000e30,2,UNKNOWN
0x000e40,2,UNKNOWN
0x001000,2,UNKNOWN
0x00100c,3,UNKNOWN
0x00101c,1,UNKNOWN
0x001028,1,UNKNOWN
0x001040,4,UNKNOWN
0x001054,4,UNKNOWN
0x001080,3,UNKNOWN
0x001090,2,UNKNOWN
0x001100,1,UNKNOWN
0x001108,1,UNKNOWN
0x001110,2,UNKNOWN
0x00111c,4,UNKNOWN
0x001140,13,UNKNOWN
0x001180,10,UNKNOWN
0x0011c0,5,UNKNOWN
0x0011e0,1,UNKNOWN
0x0011f0,2,UNKNOWN
0x001200,1,UNKNOWN
0x001210,2,UNKNOWN
0x001220,1,UNKNOWN
0x001230,2,UNKNOWN
0x001240,2,UNKNOWN
0x001400,2,UNKNOWN
0x00140c,3,UNKNOWN
0x00141c,1,UNKNOWN
0x001428,1,UNKNOWN
0x001440,4,UNKNOWN
0x001454,4,UNKNOWN
0x001480,3,UNKNOWN
0x001490,2,UNKNOWN
0x001500,1,UNKNOWN
0x001508,1,UNKNOWN
0x001510,2,UNKNOWN
0x00151c,4,UNKNOWN
0x001540,13,UNKNOWN
0x001580,10,UNKNOWN
0x0015c0,5,UNKNOWN
0x0015e0,1,UNKNOWN
0x0015f0,2,UNKNOWN
0x001600,1,UNKNOWN
0x001610,2,UNKNOWN
0x001620,1,UNKNOWN
0x001630,2,UNKNOWN
0x001640,2,UNKNOWN
0x002000,108,UNKNOWN
0x002800,26,UNKNOWN
0x002870,3,UNKNOWN
0x002890,14,UNKNOWN
0x0028d0,2,UNKNOWN
0x0028e0,20,UNKNOWN
0x002a00,1,UNKNOWN
0x002a10,6,UNKNOWN
0x002a30,21,UNKNOWN
0x002a90,2,UNKNOWN
0x003000,26,UNKNOWN
0x003070,3,UNKNOWN
0x003090,14,UNKNOWN
0x0030d0,2,UNKNOWN
0x0030e0,20,UNKNOWN
0x003200,1,UNKNOWN
0x003210,6,UNKNOWN
0x003230,21,UNKNOWN
0x003290,2,UNKNOWN
0x003800,26,UNKNOWN
0x003870,3,UNKNOWN
0x003890,14,UNKNOWN
0x0038d0,2,UNKNOWN
0x0038e0,20,UNKNOWN
0x003a00,1,UNKNOWN
0x003a10,6,UNKNOWN
0x003a30,21,UNKNOWN
0x003a90,2,UNKNOWN
0x004000,8,UNKNOWN
0x004028,7,UNKNOWN
0x00404c,7,UNKNOWN
0x004074,7,UNKNOWN
0x004098,7,UNKNOWN
0x0040bc,7,UNKNOWN
0x0040e4,7,UNKNOWN
0x004108,7,UNKNOWN
0x00412c,7,UNKNOWN
0x004160,1,UNKNOWN
0x004170,2,UNKNOWN
0x004180,1,UNKNOWN
0x004190,2,UNKNOWN
0x004200,7,UNKNOWN
0x004220,9,UNKNOWN
0x004250,7,UNKNOWN
0x004280,1,UNKNOWN
0x004290,2,UNKNOWN
0x004300,7,UNKNOWN
0x004320,9,UNKNOWN
0x004350,7,UNKNOWN
0x004380,1,UNKNOWN
0x004390,2,UNKNOWN
0x004400,7,UNKNOWN
0x004420,9,UNKNOWN
0x004450,7,UNKNOWN
0x004480,1,UNKNOWN
0x004490,2,UNKNOWN
0x004500,7,UNKNOWN
0x004520,9,UNKNOWN
0x004550,7,UNKNOWN
0x004580,1,UNKNOWN
0x004590,2,UNKNOWN
0x004600,2,UNKNOWN
0x004610,2,UNKNOWN
0x004640,1,UNKNOWN
0x004648,2,UNKNOWN
0x004654,3,UNKNOWN
0x004700,1,UNKNOWN
0x00470c,1,UNKNOWN
0x004718,2,UNKNOWN
0x004728,1,UNKNOWN
0x004740,1,UNKNOWN
0x004750,2,UNKNOWN
0x0047f0,2,UNKNOWN
0x004800,1,UNKNOWN
0x004810,2,UNKNOWN
0x004820,3,UNKNOWN
0x004830,3,UNKNOWN
0x004900,3,UNKNOWN
0x004910,3,UNKNOWN
0x004920,3,UNKNOWN
0x004930,3,UNKNOWN
0x004940,18,UNKNOWN
0x00498c,6,UNKNOWN
0x0049c0,1,UNKNOWN
0x0049d0,2,UNKNOWN
0x005000,604,UNKNOWN
0x006000,604,UNKNOWN
0x007000,604,UNKNOWN
0x008000,5,
0x008018,1,
0x008020,1,
0x008030,2,
0x008080,9,
0x0080a8,12,
0x0080dc,1,
0x0080f4,8,
0x008118,1,
0x008120,1,
0x008130,2,
0x008180,9,UNKNOWN
0x0081a8,12,UNKNOWN
0x0081dc,1,UNKNOWN
0x0081f4,8,UNKNOWN
0x008218,1,UNKNOWN
0x008220,1,UNKNOWN
0x008230,2,UNKNOWN
0x008280,9,UNKNOWN
0x0082a8,12,UNKNOWN
0x0082dc,1,UNKNOWN
0x0082f4,15,UNKNOWN
0x008400,15,
0x008440,4,
0x008500,7,UNKNOWN
0x008520,1,UNKNOWN
0x008530,2,UNKNOWN
0x008540,4,UNKNOWN
0x008554,2,UNKNOWN
0x008560,4,UNKNOWN
0x008574,1,UNKNOWN
0x00857c,4,UNKNOWN
0x008590,9,UNKNOWN
0x0085c0,4,UNKNOWN
0x0085d4,3,UNKNOWN
0x0085e4,1,UNKNOWN
0x0085ec,1,UNKNOWN
0x008600,7,UNKNOWN
0x008620,1,UNKNOWN
0x008630,2,UNKNOWN
0x008640,4,UNKNOWN
0x008654,2,UNKNOWN
0x008660,4,UNKNOWN
