#Addr, Size, Enable addr
0x000000,16385,
0x010010,8,
0x010104,1,
0x01010c,4,
0x010200,1,
0x010210,4,
0x010300,4,
0x010400,3,
0x010410,1,
0x010444,1,
0x01044c,4,
0x010480,2,
0x010500,35,
0x010590,1,
0x010600,32,
0x010704,1,
0x01070c,1,
0x010804,2,
0x010814,3,
0x010824,2,
0x010834,3,
0x010844,2,
0x010854,5,
0x010a00,6,
0x011004,1,
0x01100c,4,
0x011204,1,
0x011214,4,
0x011228,1,
0x011244,1,
0x011250,4,
0x011264,1,
0x011274,1,
0x01127c,1,
0x0112a4,1,
0x011300,4,
0x011314,1,
0x01131c,3,
0x011404,2,
0x011430,20,
0x011484,2,
0x011498,5,
0x0114bc,1,
0x0114c8,1,
0x0114d4,2,
0x01150c,3,
0x011524,3,
0x011608,3,
0x011618,4,
0x011680,16,
0x011704,2,
0x011730,20,
0x011784,3,
0x011794,3,
0x0117c0,6,
0x011800,35,
0x0118a4,1,
0x0118ac,1,
0x0118c4,3,
0x0118d4,1,
0x0118dc,2,
0x011900,35,
0x011b04,2,
0x011b14,3,
0x011b24,2,
0x011b38,6,
0x011b60,5,
0x011c04,1,
0x011cb8,18,
0x011d98,1,
0x011e00,1,
0x011e08,1,
0x011e10,1,
0x012000,32,
0x012200,32,
0x012400,32,
0x012600,32,
0x012800,20,
0x012888,22,
0x012900,18,
0x012a00,36,
0x012b00,3,
0x012b10,1,
0x012b20,1,
0x012b30,1,
0x012b40,1,
0x012b50,1,
0x012b60,1,
0x012c00,1,
0x012c08,1,
0x012c10,1,
0x012c18,1,
0x012c20,1,
0x012c28,1,
0x012c30,1,
0x012c38,1,
0x012c50,1,
0x012c58,1,
0x012c60,1,
0x012c68,1,
0x012c70,1,
0x012c78,1,
0x012c80,1,
0x012c88,1,
0x012d00,5,
0x012d20,2,
0x012e00,6,
0x012e20,6,
0x012e80,5,
0x013000,4,
0x013084,1,
0x01308c,2,
0x013180,5,
0x01319c,5,
0x013304,1,
0x0133bc,52,
0x013500,35,
0x013604,1,
0x01360c,1,
0x013624,1,
0x01362c,1,
0x013644,1,
0x01364c,3,
0x013800,1,
0x013808,2,
0x013a04,1,
0x013a0c,4,
0x015000,32,
0x015100,2,
0x015110,3,
0x015120,2,
0x015144,3,
0x015204,1,
0x01520c,1,
0x015224,1,
0x01522c,1,
0x015234,1,
0x01523c,1,
0x015244,1,
0x01524c,1,
0x015254,1,
0x01525c,2,
0x015270,1,
0x015280,1,
0x015290,1,
0x0152a0,1,
0x0152b0,1,
0x0152c0,1,
0x0152d0,1,
0x0152e0,1,
0x0152f0,1,
0x015300,1,
0x015310,1,
0x015320,1,
0x015330,1,
0x016800,3,
0x016820,8,
0x017800,1,
0x017818,1,
0x017834,1,
0x017904,4,
0x017934,1,
0x01794c,1,
0x017970,2,
0x017a00,6,
0x017c00,6,
0x017c20,6,
0x017c40,6,
0x017c60,6,
0x017c80,6,
0x017ca0,6,
0x017cc0,6,
0x017ce0,6,
0x017d00,3,
0x017d10,4,
0x018400,11,
0x018430,2,
0x018440,4,
0x018604,1,
0x018618,2,
0x018640,4,
0x018800,1,
0x018810,4,
0x018c04,1,
0x018c0c,4,
0x01a400,7,
0x01a420,2,
0x01a444,1,
0x01a44c,1,
0x01a800,1,
0x01a814,3,
0x01ac04,1,
0x01ac0c,4,
0x01c400,7,
0x01c500,8,
0x01c544,1,
0x01c554,3,
0x01c564,3,
0x01c574,3,
0x01c604,1,
0x01c60c,3,
0x01c800,1,
0x01c814,3,
0x01cc04,1,
0x01cc0c,4,
0x01f400,1,
0x01f408,4,
0x01f41c,3,
0x01f500,2,
0x01f800,1,
0x01f814,3,
0x01fc04,1,
0x01fc0c,4,
0x020004,1,
0x02000c,4,
0x020080,9,
0x021004,1,
0x02100c,4,
0x021400,5,
0x021418,1,
0x021480,1,
0x021704,2,
0x02173c,17,
0x021804,1,
0x02180c,4,
0x021a00,2,
0x022000,131,
0x022220,4,
0x022408,6,
0x022444,1,
0x022454,3,
0x022504,1,
0x02250c,4,
0x022624,1,
0x02262c,3,
0x02263c,1,
0x022804,1,
0x02280c,4,
0x022904,4,
0x022924,4,
0x024000,5,
0x024020,1,
0x024030,8,
0x024058,1,
0x024060,1,
0x024070,9,
0x0240a0,1,
0x0240b0,4,
0x024100,24,
0x024200,5,
0x024218,3,
0x0243a0,6,
0x0243bc,26,
0x024428,3,
0x024440,3,
0x024464,1,
0x02446c,1,
0x024474,3,
0x024484,1,
0x02448c,4,
0x024500,1,
0x02450c,7,
0x024530,1,
0x024544,4,
0x024560,1,
0x024570,1,
0x024580,4,
0x0245a4,2,
0x0245b4,3,
0x0245c4,2,
0x0245d4,3,
0x024600,2,
0x02460c,1,
0x024624,3,
0x024674,1,
0x02467c,1,
0x024684,1,
0x02468c,4,
0x024704,1,
0x02470c,4,
0x024780,32,
0x024824,4,
0x024864,6,
0x024888,10,
0x0248b4,3,
0x0248c4,1,
0x0248cc,1,
0x0248d4,1,
0x0248dc,7,
0x024908,6,
0x024928,6,
0x024968,6,
0x024984,3,
0x024994,1,
0x02499c,6,
0x025004,6,
0x025800,2,
0x026000,99,
0x028000,2,
0x028404,1,
0x02840c,4,
0x028800,2,
0x028c04,1,
0x028c0c,4,
0x029004,1,
0x02900c,5,
0x029b20,2,
0x029b30,4,
0x029b50,5,
0x02a004,1,
0x02a00c,4,
0x02a200,1,
0x02a210,9,
0x02a3fc,1,
0x02a484,16,
0x02a504,16,
0x02a584,16,
0x02a604,16,
0x02a6fc,34,
0x02a790,4,
0x02a7c4,1,
0x02a7d4,11,
0x02a900,1,
0x02aa04,1,
0x02aa0c,4,
0x02ab00,40,
0x02aba4,1,
0x02abac,1,
0x02abb4,1,
0x02abbc,1,
0x02abc4,1,
0x02abcc,9,
0x02ac00,2,
0x02ac10,3,
0x02ac44,3,
0x02ad00,1,
0x02ad08,1,
0x02ad10,1,
0x02ad18,1,
0x02ad20,1,
0x02ad28,1,
0x02ad30,1,
0x02ad38,1,
0x02ad40,1,
0x02ad48,1,
0x02ad50,1,
0x02ad58,1,
0x02ad60,1,
0x02ad68,1,
0x02ad70,1,
0x02ad78,1,
0x02ad80,1,
0x02ad88,1,
0x02ad90,1,
0x02ad98,1,
0x02ada0,1,
0x02ada8,1,
0x02adb0,1,
0x02adb8,1,
0x02adc0,1,
0x02adc8,1,
0x02add0,1,
0x02add8,1,
0x02ade0,1,
0x02ade8,1,
0x02adf0,1,
0x02adf8,1,
0x02c000,6,
0x02c100,5,
0x02c204,1,
0x02c214,3,
0x02c224,1,
0x02c22c,4,
0x02c244,2,
0x02c400,2,
0x02c418,2,
0x02c434,2,
0x02c504,6,
0x02c534,2,
0x02c54c,1,
0x02c570,3,
0x02c600,6,
0x02c620,6,
0x02c800,3,
0x02c820,6,
0x02c840,6,
0x02c860,6,
0x02c880,6,
0x02c8a0,6,
0x02c8c0,6,
0x02c8e0,6,
0x02c900,6,
0x02c920,6,
0x02c940,6,
0x02c960,6,
0x02c980,6,
0x02c9a0,6,
0x02c9c0,6,
0x02c9e0,6,
0x02ca00,6,
0x02ca20,6,
0x02ca40,6,
0x02ca60,6,
0x02cc00,3,
0x02cc20,9,
0x02cc48,4,
0x030004,2,
0x030034,19,
0x030084,2,
0x0300bc,17,
0x030104,2,
0x030138,18,
0x030300,6,
0x030340,1,
0x03034c,1,
0x030384,1,
0x0303c0,16,
0x030404,1,
0x03040c,4,
0x030804,1,
0x03080c,4,
