#Addr, Size, Enable addr
0x010000,2,
0x010010,2,
0x0100a0,15,
0x0100ec,2,
0x0100fc,2,
0x01010c,2,
0x010150,1,
0x0101cc,1,
0x0101fc,1,
0x010208,10,
0x010300,6,
0x010320,20,
0x010374,3,
0x010400,1,
0x010410,2,
0x010440,1,
0x010450,2,
0x010500,1,
0x010510,2,
0x010520,2,
0x01052c,3,
0x01053c,3,
0x010550,1,
0x010600,18,
0x010680,1,
0x010690,2,
0x0106ac,1,
0x0106b8,1,
0x0106e0,3,
0x0106f0,3,
0x010740,4,
0x010754,8,
0x010800,2,
0x010810,2,
0x0108a0,15,
0x0108ec,2,
0x0108fc,2,
0x01090c,2,
0x010950,1,
0x0109cc,1,
0x0109fc,1,
0x010a08,10,
0x010b00,6,
0x010b20,20,
0x010b74,3,
0x010c00,1,
0x010c10,2,
0x010c40,1,
0x010c50,2,
0x010d00,1,
0x010d10,2,
0x010d20,2,
0x010d2c,3,
0x010d3c,3,
0x010d50,1,
0x010e00,18,
0x010e80,1,
0x010e90,2,
0x010eac,1,
0x010eb8,1,
0x010ee0,3,
0x010ef0,3,
0x010f40,4,
0x010f54,8,
0x011000,1,
0x011010,4,
0x011024,2,
0x011080,2,
0x011090,12,
0x011180,6,
0x011200,7,
0x011220,1,
0x011240,4,
0x011260,1,
0x011280,5,
0x011300,1,
0x011310,2,
0x011400,6,
0x011460,1,
0x0114b0,4,
0x011800,1,
0x011810,4,
0x011824,2,
0x011880,2,
0x011890,12,
0x011980,6,
0x011a00,7,
0x011a20,1,
0x011a40,4,
0x011a60,1,
0x011a80,5,
0x011b00,1,
0x011b10,2,
0x011c00,6,
0x011c60,1,
0x011cb0,4,
0x012000,1,
0x01200c,1,
0x012020,1,
0x012030,2,
0x012044,2,
0x0120a0,4,
0x0120c0,7,
0x01211c,13,
0x012164,1,
0x012170,4,
0x0121e0,6,
0x012250,1,
0x012360,4,
0x012380,3,
0x012390,5,
0x0123b0,5,
0x012440,3,
0x012450,3,
0x0124a8,2,
0x0124c0,2,
0x0124d0,2,
0x012568,2,
0x0125c0,4,
0x0125fc,10,
0x012628,6,
0x012644,1,
0x012660,2,
0x012670,2,
0x01268c,5,
0x01270c,1,
0x012728,8,
0x012750,2,
0x01275c,1,
0x0127d8,2,
0x0127e8,2,
0x012840,1,
0x012850,2,
0x0128a0,6,
0x012904,1,
0x012910,5,
0x012928,4,
0x012944,2,
0x012950,1,
0x012958,4,
0x012980,7,
0x0129a0,1,
0x0129b0,2,
