#Addr, Size, Enable addr
0x000000,16388,
0x010084,1,
0x01008c,2,
0x010180,6,
0x01019c,9,
0x010304,1,
0x0103bc,52,
0x010500,35,
0x010604,1,
0x01060c,1,
0x010624,1,
0x01062c,1,
0x010644,1,
0x01064c,3,
0x010800,1,
0x010814,3,
0x010844,1,
0x01084c,4,
0x011000,32,
0x011200,32,
0x011400,32,
0x011600,32,
0x011800,32,
0x011a00,5,
0x011a24,1,
0x011a2c,1,
0x011a34,3,
0x011a44,1,
0x011a4c,2,
0x012000,20,
0x012088,22,
0x012100,18,
0x012200,36,
0x012300,3,
0x012310,1,
0x012320,1,
0x012330,1,
0x012340,1,
0x012350,1,
0x012360,1,
0x012370,1,
0x012400,166,
0x0126a0,1,
0x012700,32,
0x012800,1,
0x012808,1,
0x012810,1,
0x012818,1,
0x012820,1,
0x012828,1,
0x012830,1,
0x012838,1,
0x012850,1,
0x012858,1,
0x012860,1,
0x012868,1,
0x012870,1,
0x012878,1,
0x012880,1,
0x012888,1,
0x012890,5,
0x012900,10,
0x012940,6,
0x012960,6,
0x012980,5,
0x012a00,6,
0x012a40,5,
0x012a80,9,
0x012ac0,19,
0x012b10,2,
0x014000,1,
0x014010,10,
0x014104,1,
0x01410c,4,
0x014200,1,
0x014210,4,
0x014300,4,
0x014400,3,
0x014410,1,
0x014444,1,
0x01444c,4,
0x014480,2,
0x014500,35,
0x014590,1,
0x014600,32,
0x014704,1,
0x01470c,1,
0x014804,2,
0x014814,3,
0x014824,2,
0x014834,3,
0x014844,2,
0x014854,5,
0x014a00,4,
0x014a14,2,
0x015004,1,
0x01500c,4,
0x015204,1,
0x015214,4,
0x015228,1,
0x015244,1,
0x015250,4,
0x015274,1,
0x01527c,1,
0x0152a4,1,
0x015300,4,
0x015314,1,
0x01531c,3,
0x015404,2,
0x015430,20,
0x015484,2,
0x015498,5,
0x0154bc,1,
0x0154c8,1,
0x0154d4,1,
0x01550c,3,
0x015524,3,
0x015608,3,
