#Addr, Size, Enable addr
0x00a080,11,
0x00a0b0,3,
0x00a0c0,4,
0x00a0d4,12,
0x00a110,17,
0x00a158,34,
0x00a298,6,
0x00a2b4,48,
0x00a3b0,5,
0x00a3d0,12,
0x10f000,4,
0x10f030,2,
0x10f040,4,
0x10f100,9,
0x10f130,7,
0x10f200,3,
0x10f210,6,
0x10f2a0,1,
0x10f2fc,7,
0x10f320,3,
0x10f330,9,
0x10f36c,12,
0x10f3a0,3,
0x10f3b0,282,
0x10f900,3,
0x10f920,2,
0x10f94c,11,
0x10f984,4,
0x10f9fc,4,
0x10fa20,2,
0x10fa30,8,
0x10fb20,4,
0x10fd00,1,
0x10fd40,1,
0x140000,9,
0x140038,5,
0x140064,8,
0x14008c,60,
0x140180,32,
0x5002c0,19,
0x500310,15,
0x500350,4,
0x50036c,5,
0x500880,16,
0x501f00,8,
0x820000,3,
0x820010,5,
0x820028,1,
0x820030,2,
0x820040,1,
0x820050,2,
0x820060,1,
0x820068,5,
0x820084,3,
0x8200b0,2,
0x8200c0,2,
0x8200d0,34,
0x82015c,9,
0x820188,11,
0x8201b8,13,
0x8201f0,10,
0x82021c,4,
0x820238,21,
0x820290,4,
0x8202a8,7,
0x8202c8,1,
0x8202d0,2,
0x8202dc,2,
0x8202e8,1,
0x8202f4,1,
0x8202fc,3,
0x82030c,1,
0x820318,2,
0x820324,1,
0x82032c,5,
0x820344,3,
0x820354,2,
0x820364,1,
0x82038c,1,
0x82039c,2,
0x8203b8,9,
0x8203f0,5,
0x820408,3,
0x82041c,1,
0x820428,2,
0x820434,7,
0x820464,1,
0x82046c,7,
0x82048c,3,
0x8204a0,9,
0x8204c8,1,
0x8204d0,2,
0x8204dc,3,
0x8204ec,4,
0x820500,1,
0x820510,1,
0x82054c,1,
0x82055c,2,
0x820570,3,
0x820588,1,
0x820590,4,
0x8205a4,2,
0x8205b4,2,
0x8205ec,2,
0x8205f8,5,
0x820610,3,
0x820620,10,
0x82064c,1,
0x820670,2,
0x82067c,2,
0x8206bc,4,
0x8206d0,4,
0x8206f4,1,
0x820704,3,
0x820718,9,
0x820748,3,
0x82075c,1,
0x8207a0,6,
0x8207c0,12,
0x8207f4,7,
0x820814,1,
0x82081c,39,
0x820938,1,
0x820968,18,
0x8209b8,17,
0x820a40,32,
0x820b20,20,
0x820b7c,1,
0x820b9c,1,
0x820bd0,5,
0x820be8,10,
0x820c14,1,
0x820c1c,39,
0x820d38,1,
0x820d68,18,
0x820db8,17,
0x820e00,1,
0x820e08,5,
0x820e20,1,
0x821000,49,
0x8210ec,2,
0x8210fc,57,
0x8211e4,8,
0x821208,4,
0x82121c,1,
0x82123c,9,
0x821264,7,
0x821288,8,
0x8212b0,9,
0x8212d8,5,
0x8212f0,1,
0x8212f8,9,
0x821334,12,
0x821378,13,
0x8213c0,78,
0x821504,1,
0x821510,2,
0x82151c,29,
0x821598,24,
0x8215fc,11,
0x82162c,26,
0x821698,1,
0x8216c0,1,
0x8216c8,19,
0x821720,2,
0x82172c,4,
0x821744,2,
0x821750,5,
0x821774,1,
0x82177c,10,
0x8217b0,41,
0x821858,33,
0x8218e8,1,
0x821910,6,
0x82192c,12,
0x821960,1,
0x821968,6,
0x8219f0,9,
0x821a18,1,
0x821a30,9,
0x821a70,2,
0x821b10,1,
0x821b20,3,
0x821b34,16,
0x821b94,3,
0x821bd0,1,
0x821be0,2,
0x821bf0,21,
0x821c70,7,
0x821c90,4,
0x821ccc,26,
0x821d3c,1,
0x821d44,20,
0x821da8,4,
0x821dc4,16,
0x821e40,3,
0x821e50,2,
0x821e5c,3,
0x821e6c,2,
0x821e78,1,
0x821e90,1,
0x821ea4,1,
0x821ee0,6,
0x821efc,52,
0x821fd0,28,
0x822080,17,
0x822100,27,
0x822170,2,
0x8225d0,16,
0x8226d4,14,
0x8227e4,55,
0x822900,16,
0x8229c0,1,
0x822a00,27,
0x822a70,2,
0x822dd0,16,
0x822ed8,13,
0x822fe4,46,
0x8230a0,59,
0x823190,1,
0x823318,21,
0x8233c0,3,
0x823420,3,
0x823480,3,
0x8234e0,8,
0x823540,8,
0x8235a0,8,
0x823800,22,
0x82385c,6,
0x823878,9,
0x8238a0,3,
0x823b00,2,
0x823b0c,1,
0x823b18,12,
0x823c00,150,
0x824000,21,
0x824100,64,
0x824244,6,
0x824260,40,
0x824304,19,
0x8243ac,3,
0x8243e0,1,
0x8243f8,3,
0x824e00,103,
0x825800,1,
0x825820,4,
0x825894,11,
0x825a00,3,
0x828008,2,
0x828018,16,
0x82805c,6,
0x828078,18,
0x8280d0,7,
0x8280f4,2,
0x828100,12,
0x828134,2,
0x828140,4,
0x82815c,1,
0x828170,1,
0x82817c,12,
0x8281b0,2,
0x8281bc,27,
0x82822c,12,
0x828260,3,
0x828270,1,
0x828278,10,
0x8282b0,15,
0x8282f0,20,
0x8283b0,2,
0x8283c0,10,
0x8283f0,4,
0x828680,2,
0x828700,8,
0x828724,2,
0x828780,8,
0x8287c0,13,
0x828800,5,
0x828900,8,
0x828928,5,
0x828948,3,
0x82895c,4,
0x828990,4,
0x8289b0,6,
0x8289e0,6,
0x828a10,8,
0x828a50,1,
0x828a5c,20,
0x828b00,1,
0x828b08,5,
0x829e04,1,
0x829e0c,1,
0x829e14,1,
0x829e1c,1,
0x829e24,1,
0x829e2c,1,
0x829e34,1,
0x829e3c,1,
0x829e44,1,
0x829f00,12,
0x829f80,2,
0x829f8c,2,
0x829f98,2,
0x829fa4,2,
0x82a000,32,
0x830000,129,
0x830800,128,
0x831000,128,
0x831400,1,
0x831600,384,
0x870000,1,
0x87000c,3,
0x870020,2,
0x870030,2,
0x870040,1,
0x870070,3,
0x870080,5,
0x8700a0,3,
0x8700b0,3,
0x8700c0,2,
0x870100,4,
0x870120,3,
0x870130,1,
0x870138,2,
0x870150,12,
0x8701a0,9,
0x8701c8,2,
0x870218,10,
0x870280,45,
0x870338,27,
0x8703f0,2,
0x870400,1,
0x87040c,3,
0x870440,2,
0x870450,28,
0x870600,3,
0x870620,1,
0x870630,2,
0x870650,12,
0x870684,10,
0x8706b0,13,
0x8706e8,2,
0x870700,3,
0x8707f0,2,
0x870800,1,
0x870810,2,
0x87081c,2,
0x870840,12,
0x870a00,4,
0x870a20,2,
0x870a30,1,
0x870a40,2,
0x870a50,5,
0x870a70,12,
0x870b00,13,
0x870b38,33,
0x870bc0,6,
0x870bf0,2,
0x870c20,1,
0x870c30,4,
0x870c48,1,
0x870c50,5,
0x870c70,2,
0x870c7c,2,
0x870c8c,6,
0x870d00,3,
0x870d20,3,
0x870d40,3,
0x870d60,3,
0x870d80,3,
0x870da0,3,
0x870dc0,3,
0x870de0,3,
0x870e08,9,
0x870e48,1,
0x870e50,3,
0x871000,1,
0x87100c,3,
0x871020,2,
0x871030,2,
0x871040,1,
0x871070,3,
0x871080,5,
0x8710a0,3,
0x8710b0,3,
0x8710c0,2,
0x871100,4,
0x871120,3,
0x871130,1,
0x871138,2,
0x871150,12,
0x8711a0,9,
0x8711c8,2,
0x871218,10,
0x871280,45,
0x871338,27,
0x8713f0,2,
0x871400,1,
0x87140c,3,
0x871440,2,
0x871450,28,
0x871600,3,
0x871620,1,
0x871630,2,
0x871650,12,
0x871684,10,
0x8716b0,13,
0x8716e8,2,
0x871700,3,
0x8717f0,2,
0x871800,1,
0x871810,2,
0x87181c,2,
0x871840,12,
0x871a00,4,
0x871a20,2,
0x871a30,1,
0x871a40,2,
0x871a50,5,
0x871a70,12,
0x871b00,13,
0x871b38,33,
0x871bc0,6,
0x871bf0,2,
0x871c20,1,
0x871c30,4,
0x871c48,1,
0x871c50,5,
0x871c70,2,
0x871c7c,2,
0x871c8c,6,
0x871d00,3,
0x871d20,3,
0x871d40,3,
0x871d60,3,
0x871d80,3,
0x871da0,3,
0x871dc0,3,
0x871de0,3,
0x871e08,9,
0x871e48,1,
0x871e50,3,
0x872000,1,
0x87200c,3,
0x872020,2,
0x872030,2,
0x872040,1,
0x872070,3,
0x872080,5,
0x8720a0,3,
0x8720b0,3,
0x8720c0,2,
0x872100,4,
0x872120,3,
0x872130,1,
0x872138,2,
0x872150,12,
0x8721a0,9,
0x8721c8,2,
0x872218,10,
0x872280,45,
0x872338,27,
0x8723f0,2,
0x872400,1,
0x87240c,3,
0x872440,2,
