# addr, size, enable addr
0x010000,14,
0x010050,4,
0x010070,4,
0x01009c,9,
0x0100d8,3,
0x0100e8,1,
0x0100f0,1,
0x0100f8,3,
0x01010c,20,
0x010164,1,
0x01017c,1,
0x010188,1,
0x010194,3,
0x010230,2,
0x010240,9,
0x010270,2,
0x010280,16,
0x0102f8,3,
0x010308,1,
0x010310,1,
0x010318,1,
0x010320,1,
0x010328,1,
0x010330,1,
0x010338,1,
0x010340,1,
0x010348,1,
0x010350,1,
0x010358,1,
0x010360,1,
0x010368,1,
0x010370,1,
0x010378,1,
0x010390,13,
0x0103cc,1,
0x0103dc,2,
0x0103e8,1,
0x0103f0,1,
0x0103f8,2,
0x010800,14,
0x010850,4,
0x010870,4,
0x01089c,9,
0x0108d8,3,
0x0108e8,1,
0x0108f0,1,
0x0108f8,3,
0x01090c,20,
0x010964,1,
0x01097c,1,
0x010988,1,
0x010994,3,
0x010a30,2,
0x010a40,9,
0x010a70,2,
0x010a80,16,
0x010af8,3,
0x010b08,1,
0x010b10,1,
0x010b18,1,
0x010b20,1,
0x010b28,1,
0x010b30,1,
0x010b38,1,
0x010b40,1,
0x010b48,1,
0x010b50,1,
0x010b58,1,
0x010b60,1,
0x010b68,1,
0x010b70,1,
0x010b78,1,
0x010b90,13,
0x010bcc,1,
0x010bdc,2,
0x010be8,1,
0x010bf0,1,
0x010bf8,2,
0x040000,4,
0x040020,4,
0x040040,4,
0x040060,4,
0x040100,5,
0x040180,1,
0x04018c,3,
0x040200,35,
0x040400,17,
0x042004,5,
0x042024,8,
0x042210,1,
0x042310,3,
0x042350,4,
0x042380,1,
0x04238c,3,
0x0423c0,4,
0x042400,5,
0x042420,5,
0x04243c,11,
0x042500,20,
0x044000,7,
0x044024,1,
0x044070,7,
0x0440a0,1,
0x0440ac,9,
0x044180,1,
0x0441e0,5,
0x0441f8,1,
0x044200,7,
0x044224,1,
0x044270,7,
0x0442a0,1,
0x0442ac,9,
0x044380,1,
0x0443e0,5,
0x0443f8,1,
0x044500,4,
0x044520,4,
0x044540,2,
0x044604,45,
0x044704,45,
0x044b00,26,
0x044f00,1,
0x044f20,1,
0x044f40,1,
0x045100,4,
0x045210,3,
0x045260,1,
0x045284,4,
0x045300,1,
0x04530c,3,
0x045340,8,
0x045380,2,
0x045390,1,
0x045398,2,
0x045400,128,
0x045800,256,
0x046000,2,
0x04600c,3,
0x046020,5,
0x046080,5,
0x046100,2,
0x04610c,3,
0x046120,5,
0x046180,5,
0x046200,2,
0x04620c,3,
0x046220,5,
0x046280,5,
0x046300,2,
0x04630c,3,
0x046320,5,
0x046380,5,
0x046400,2,
0x04640c,3,
0x046420,5,
0x046480,5,
0x046500,2,
0x04650c,3,
0x046520,5,
0x046580,5,
0x046600,2,
0x04660c,3,
0x046620,5,
0x046680,5,
0x046700,2,
0x04670c,3,
0x046720,5,
0x046780,5,
0x046800,2,
0x04680c,3,
0x046820,5,
0x046880,5,
0x046900,2,
0x04690c,3,
0x046920,5,
0x046980,5,
0x046a00,2,
0x046a0c,3,
0x046a20,5,
0x046a80,5,
0x046b00,2,
0x046b0c,3,
0x046b20,5,
0x046b80,5,
0x046c00,2,
0x046c0c,3,
0x046c20,5,
0x046c80,5,
0x046d00,2,
0x046d0c,3,
0x046d20,5,
0x046d80,5,
0x046e00,2,
0x046e0c,3,
0x046e20,5,
0x046e80,5,
0x046f00,2,
0x046f0c,3,
0x046f20,5,
0x046f80,5,
0x04c000,7,
0x04c024,1,
0x04c070,7,
0x04c0a0,1,
0x04c0ac,9,
0x04c180,1,
0x04c1e0,5,
0x04c1f8,1,
0x04c300,5,
0x04c340,5,
0x04c380,7,
0x04c500,16,
0x04c560,16,
0x04c5b0,6,
0x04c5d0,7,
0x04c5f0,4,
0x04c700,34,
0x04c790,14,
0x04c800,256,
0x04d004,45,
0x04d130,1,
0x04d140,12,
0x04d200,51,
0x04d500,9,
0x04d540,7,
0x04d560,3,
0x04d570,2,
0x04d580,3,
0x04d590,4,
0x04d5e4,3,
0x04d600,6,
0x04d620,10,
0x04d800,128,
0x04dc00,1,
0x04dc0c,3,
0x04dc24,4,
0x04dc44,3,
0x04dd00,15,
0x04de00,15,
0x04dff8,578,
0x080000,7,
0x080024,1,
0x080070,7,
0x0800a0,1,
0x0800ac,9,
0x080180,1,
0x0801e0,5,
0x0801f8,1,
0x080200,2,
0x080240,3,
0x080250,2,
0x080280,19,
0x0802d4,10,
0x080300,8,
0x080380,1,
0x080400,1,
0x080500,1,
0x080600,1,
0x08060c,3,
0x080640,1,
0x080680,7,
0x080700,2,
0x081000,9,
0x081040,9,
0x081080,2,
0x0810c0,2,
0x0810d0,2,
0x081100,2,
0x081110,2,
0x081410,7,
0x081440,1,
0x081500,64,
0x081800,28,
0x082000,1024,
0x086000,2,
0x08600c,8,
0x086030,2,
0x086040,1,
0x08604c,3,
0x0860a0,3,
0x0860b0,3,
0x0860e8,3,
0x086100,2,
0x086130,3,
0x086160,3,
0x086180,1,
0x0861a0,10,
0x0861d0,2,
0x088000,7,
0x088024,1,
0x088070,7,
0x0880a0,1,
0x0880ac,9,
0x088180,1,
0x0881e0,5,
0x0881f8,1,
0x088280,1,
0x08828c,3,
0x088300,1,
0x088340,1,
0x088380,1,
0x088404,5,
0x088424,5,
0x088474,3,
0x088498,2,
0x0884e0,4,
0x088504,5,
0x088524,5,
0x088574,3,
0x088598,2,
0x0885e0,4,
0x088604,5,
0x088624,5,
0x088674,3,
0x088698,2,
0x0886e0,4,
0x088700,1,
0x088708,4,
0x088780,3,
0x088810,7,
0x088840,1,
0x088900,64,
0x088b00,3,
0x088b10,3,
0x088b20,3,
0x088b30,3,
0x088b80,1,
0x088c00,111,
