# addr, size, enable addr
0x010000,16,
0x010050,4,
0x010070,4,
0x01009c,9,
0x0100d8,3,
0x0100e8,1,
0x010100,20,
0x010158,1,
0x010164,1,
0x01017c,1,
0x010188,6,
0x010230,2,
0x010280,16,
0x0102f8,3,
0x010308,1,
0x010310,1,
0x010318,1,
0x010320,1,
0x010328,1,
0x010330,1,
0x010338,1,
0x010340,1,
0x010348,1,
0x010350,1,
0x010358,1,
0x010360,1,
0x010368,1,
0x010370,1,
0x010378,1,
0x010390,11,
0x0103cc,1,
0x0103e0,3,
0x0103f0,4,
0x010780,5,
0x0107a0,5,
0x0107c0,5,
0x0107d8,2,
0x010800,16,
0x010850,4,
0x010870,4,
0x01089c,9,
0x0108d8,3,
0x0108e8,1,
0x010900,20,
0x010958,1,
0x010964,1,
0x01097c,1,
0x010988,6,
0x010a30,2,
0x010a80,16,
0x010af8,3,
0x010b08,1,
0x010b10,1,
0x010b18,1,
0x010b20,1,
0x010b28,1,
0x010b30,1,
0x010b38,1,
0x010b40,1,
0x010b48,1,
0x010b50,1,
0x010b58,1,
0x010b60,1,
0x010b68,1,
0x010b70,1,
0x010b78,1,
0x010b90,11,
0x010bcc,1,
0x010be0,3,
0x010bf0,4,
0x010f80,5,
0x010fa0,5,
0x010fc0,5,
0x010fd8,2,
0x040000,4,
0x040020,4,
0x040040,4,
0x040060,4,
0x040100,6,
0x040180,1,
0x04018c,3,
0x040200,35,
0x0403c0,54,
0x040800,256,
0x042004,5,
0x042024,8,
0x042210,1,
0x042244,6,
0x042310,3,
0x042320,2,
0x042350,4,
0x042380,1,
0x04238c,3,
0x0423c0,4,
0x042400,5,
0x042420,5,
0x04243c,11,
0x042500,19,
0x042700,13,
0x042740,1,
0x042780,32,
0x044000,8,
0x044024,4,
0x044038,2,
0x044044,20,
0x04409c,2,
0x0440ac,13,
0x044180,1,
0x0441e0,1,
0x0441ec,2,
0x0441f8,1,
0x044200,8,
0x044224,4,
0x044238,2,
0x044244,20,
0x04429c,2,
0x0442ac,13,
0x044380,1,
0x0443e0,1,
0x0443ec,2,
0x0443f8,1,
0x044500,4,
0x044520,4,
0x044540,2,
0x044604,45,
0x044700,46,
0x044804,45,
0x044900,46,
0x044b00,10,
0x044b40,2,
0x044c00,16,
0x044f00,1,
0x044f20,1,
0x044f40,1,
0x045100,4,
0x045130,3,
0x045140,8,
0x045210,3,
0x045220,1,
0x045260,1,
0x045284,4,
0x0452b0,5,
0x045300,1,
0x04530c,3,
0x045340,8,
0x045380,2,
0x045390,5,
0x0453a8,4,
0x045400,128,
0x045800,256,
0x045d10,9,
0x045d40,1,
0x045e00,64,
0x046000,2,
0x04600c,2,
0x046020,5,
0x046080,5,
