# addr, size, enable addr
0x010010,1,
0x010020,3,
0x010034,2,
0x010050,4,
0x010070,4,
0x01009c,5,
0x0100d8,3,
0x0100e8,1,
0x010100,18,
0x010158,5,
0x01017c,2,
0x010188,6,
0x010230,2,
0x010240,3,
0x010250,2,
0x010280,8,
0x0102f8,2,
0x0103cc,1,
0x0103e8,1,
0x0103fc,9,
0x010440,2,
0x010700,13,
0x010738,12,
0x0107b0,2,
0x0107c0,5,
0x0107d8,2,
0x0107e8,1,
0x0107f0,1,
0x011004,5,
0x011024,8,
0x011210,1,
0x011244,6,
0x011310,3,
0x011320,2,
0x011350,1,
0x011358,2,
0x011380,1,
0x01138c,3,
0x0113c0,3,
0x011400,5,
0x011420,5,
0x01143c,11,
0x011500,2,
0x011700,13,
0x011740,1,
0x011780,8,
0x012004,2,
0x012014,2,
0x012020,6,
0x012040,4,
0x012080,4,
0x012100,1,
0x01210c,3,
0x0123c0,1,
0x0123e0,1,
0x012400,32,
0x012ff8,578,
0x044000,8,
0x044024,4,
0x044038,2,
0x044044,20,
0x04409c,2,
0x0440ac,13,
0x044180,1,
0x04419c,5,
0x0441e0,1,
0x0441ec,2,
0x0441f8,1,
0x044500,3,
0x044520,2,
0x044540,2,
0x044604,45,
0x044804,45,
0x044c00,4,
0x044f00,1,
0x044f20,1,
0x044f40,1,
0x045100,1,
0x045108,2,
0x045130,3,
0x045140,8,
0x045260,1,
0x045284,4,
0x045300,1,
0x04530c,3,
0x04535c,1,
0x045380,2,
0x045390,5,
0x0453a8,4,
0x0453bc,1,
0x045400,64,
0x045800,128,
0x045d04,3,
0x045d14,3,
0x045d24,3,
0x045d80,4,
0x045d94,1,
0x046000,2,
0x04600c,2,
0x046020,3,
0x046030,1,
0x046080,5,
0x0460a8,2,
0x046100,2,
0x04610c,2,
0x046120,3,
0x046130,1,
0x046180,5,
0x0461a8,2,
0x046200,2,
0x04620c,2,
0x046220,3,
0x046230,1,
0x046280,5,
0x0462a8,2,
0x046300,2,
0x04630c,2,
0x046320,3,
0x046330,1,
0x046380,5,
0x0463a8,2,
0x0473f0,2,
0x047900,16,
0x047980,2,
0x047990,2,
0x0479a0,2,
0x0479b0,2,
0x047a84,5,
0x047aa0,2,
0x047ab0,2,
0x047b84,3,
0x047ba0,1,
0x047d00,33,
0x060380,7,
0x0603c0,2,
0x0603d0,3,
0x060500,16,
0x060560,16,
0x0605b0,3,
0x0605c0,2,
0x0605d0,7,
0x0605f0,7,
0x060610,3,
0x060700,35,
0x060790,27,
0x060800,128,
0x061004,45,
0x061130,2,
0x061140,12,
0x061200,6,
0x0612c0,3,
0x0614a0,6,
0x061500,9,
0x061540,7,
0x061560,3,
0x061570,3,
0x061580,3,
