#Addr, Size, Enable addr
0x054000,19,
0x055000,2,
0x05500c,5,
0x055028,3,
0x055038,3,
0x055050,1,
0x055080,13,
0x055120,4,
0x055400,26,
0x055470,3,
0x055580,10,
0x0555c0,8,
0x0555e8,2,
0x0555f4,2,
0x055600,5,
0x055618,1,
0x055620,1,
0x055628,1,
0x055630,2,
0x055640,2,
0x055650,2,
0x055690,4,
0x055740,2,
0x055800,11,
0x055880,2,
0x0558b0,2,
0x058000,31,
0x058080,31,
0x058100,31,
0x058180,31,
0x058200,31,
0x058280,31,
0x058300,31,
0x058380,31,
0x058400,64,
0x058504,5,
0x058520,1,
0x058600,6,
0x058620,6,
0x058640,6,
0x058660,6,
0x058680,6,
0x0586a0,6,
0x0586c0,6,
0x0586e0,6,
0x058700,4,
0x058720,3,
0x058730,3,
0x058760,3,
0x058770,1,
0x058800,31,
0x058880,31,
0x058900,31,
0x058980,31,
0x058a00,31,
0x058a80,31,
0x058b00,31,
0x058b80,31,
0x058c00,64,
0x058d04,5,
0x058d20,1,
0x058e00,6,
0x058e20,6,
0x058e40,6,
0x058e60,6,
0x058e80,6,
0x058ea0,6,
0x058ec0,6,
0x058ee0,6,
0x058f00,4,
0x058f20,3,
0x058f30,3,
0x058f60,3,
0x058f70,1,
0x059000,31,
0x059080,31,
0x059100,31,
0x059180,31,
0x059200,31,
0x059280,31,
0x059300,31,
0x059380,31,
0x059400,64,
0x059504,5,
0x059520,1,
0x059600,6,
0x059620,6,
0x059640,6,
0x059660,6,
0x059680,6,
0x0596a0,6,
0x0596c0,6,
0x0596e0,6,
0x059700,4,
0x059720,3,
0x059730,3,
0x059760,3,
0x059770,1,
0x059800,1,
0x059808,10,
0x059840,4,
0x059860,5,
0x059880,4,
0x05a000,22,
0x05a080,22,
0x05a100,22,
0x05a180,22,
0x05a200,22,
0x05a280,22,
0x05a300,22,
0x05a380,22,
0x05a400,11,
0x05a440,11,
0x05a480,11,
0x05a4c0,11,
0x05a500,21,
0x05a560,5,
0x05a580,3,
0x05a590,3,
0x05a5a0,11,
0x05a5d0,3,
0x05a5e0,3,
0x05a600,64,
0x05a800,6,
0x05a820,6,
0x05a840,6,
0x05a860,6,
0x05a880,6,
0x05a8a0,6,
0x05a8c0,6,
0x05a8e0,6,
0x05a900,5,
0x05a91c,1,
0x05a940,6,
0x05a964,1,
0x05a96c,3,
0x05a980,3,
0x05a990,1,
0x05b300,25,
0x05b550,1,
0x05b600,34,
0x05b690,3,
0x05b700,4,
0x05b720,6,
0x05b740,3,
0x05b750,2,
0x05b760,2,
0x05b770,1,
0x05b780,2,
0x05c000,1,
0x05f000,19,
0x060000,32,
0x060200,64,
0x060400,96,
0x060600,2,
0x060800,96,
0x060a00,2,
0x060c20,11,
0x060f80,6,
0x060fa0,7,
0x060fd8,2,
0x060fe4,1,
0x060ff0,10,
0x061020,16,
0x061084,1,
0x0610c0,20,
0x061204,1,
0x061220,8,
0x061250,3,
0x061260,5,
0x061280,6,
0x0612a0,6,
0x061300,3,
0x061310,2,
0x061320,2,
0x061330,1,
0x061340,3,
0x061350,18,
0x062000,28,
0x062080,5,
0x0620a0,5,
0x062100,2,
0x06210c,2,
0x062118,1,
0x062120,1,
0x062140,7,
0x062200,3,
0x062210,3,
0x062280,4,
0x0622b8,2,
0x062300,6,
0x062320,7,
0x062340,6,
0x062360,7,
0x062380,2,
0x06238c,3,
0x0623a0,7,
0x0623c0,1,
0x063600,6,
0x063620,15,
0x063660,5,
0x063684,1,
0x063698,15,
0x063700,1,
0x063800,6,
0x063820,12,
0x063860,5,
0x063884,1,
0x063898,15,
0x063904,1,
0x06391c,10,
0x063950,2,
0x0639fc,1,
0x064000,5,
0x064020,1,
0x064030,1,
0x064040,1,
0x064050,1,
0x064060,1,
0x064070,1,
0x064080,1,
0x064090,1,
0x0640a0,1,
0x0640b0,1,
0x0640c0,1,
0x0640d0,1,
0x0640e0,1,
0x0640f0,1,
0x064100,1,
0x064110,1,
0x064120,1,
0x064130,1,
0x064140,1,
0x064150,1,
0x064160,1,
0x064170,1,
0x064180,1,
0x064190,1,
0x0641a0,1,
0x0641b0,1,
0x0641c0,1,
0x0641d0,1,
0x0641e0,1,
0x0641f0,1,
0x064200,1,
0x064210,1,
0x064220,1,
0x064230,1,
0x064240,1,
0x064250,1,
0x064260,1,
0x064270,1,
0x064280,1,
0x064290,1,
0x0642a0,1,
0x0642b0,1,
0x0642c0,1,
0x0642d0,1,
0x0642e0,1,
0x0642f0,1,
0x064300,1,
0x064310,1,
0x064320,1,
0x064330,1,
0x064340,1,
0x064350,1,
0x064360,1,
0x064370,1,
0x064380,1,
0x064390,1,
0x0643a0,1,
0x0643b0,1,
0x0643c0,1,
0x0643d0,1,
0x0643e0,1,
0x0643f0,1,
0x064400,1,
0x064410,1,
0x064420,1,
0x064430,1,
0x064440,1,
0x064450,1,
0x064460,1,
0x064470,1,
0x064480,1,
0x064490,1,
0x0644a0,1,
0x0644b0,1,
0x0644c0,1,
0x0644d0,1,
0x0644e0,1,
0x0644f0,1,
0x064500,1,
0x064510,1,
0x064520,1,
0x064530,1,
0x064540,1,
0x064550,1,
0x064560,1,
0x064570,1,
0x064580,1,
0x064590,1,
0x0645a0,1,
0x0645b0,1,
0x0645c0,1,
0x0645d0,1,
0x0645e0,1,
0x0645f0,1,
0x064600,1,
0x064610,1,
0x064620,1,
0x064630,1,
0x064640,1,
0x064650,1,
0x064660,1,
0x064670,1,
0x064680,1,
0x064690,1,
0x0646a0,1,
0x0646b0,1,
0x0646c0,1,
0x0646d0,1,
0x0646e0,1,
0x0646f0,1,
0x064700,1,
0x064710,1,
0x064720,1,
0x064730,1,
0x064740,1,
0x064750,1,
0x064760,1,
0x064770,1,
0x064780,1,
0x064790,1,
0x0647a0,1,
0x0647b0,1,
0x0647c0,1,
0x0647d0,1,
0x0647e0,1,
0x0647f0,1,
0x064800,1,
0x064810,1,
0x064820,1,
0x064830,1,
0x064840,1,
0x064850,1,
0x064860,1,
0x064870,1,
0x064880,1,
0x064890,1,
0x0648a0,1,
0x0648b0,1,
0x0648c0,1,
0x0648d0,1,
0x0648e0,1,
0x0648f0,1,
0x064900,1,
0x064910,1,
0x064920,1,
0x064930,1,
0x064940,1,
0x064950,1,
0x064960,1,
0x064970,1,
0x064980,1,
0x064990,1,
0x0649a0,1,
0x0649b0,1,
0x0649c0,1,
0x0649d0,1,
0x0649e0,1,
0x0649f0,1,
0x064a00,1,
0x064a10,1,
0x064a20,1,
0x064a30,1,
0x064a40,1,
0x064a50,1,
0x064a60,1,
0x064a70,1,
0x064a80,1,
0x064a90,1,
0x064aa0,1,
0x064ab0,1,
0x064ac0,1,
0x064ad0,1,
0x064ae0,1,
0x064af0,1,
0x064b00,1,
0x064b10,1,
0x064b20,1,
0x064b30,1,
0x064b40,1,
0x064b50,1,
0x064b60,1,
0x064b70,1,
0x064b80,1,
0x064b90,1,
0x064ba0,1,
0x064bb0,1,
0x064bc0,1,
0x064bd0,1,
0x064be0,1,
0x064bf0,1,
0x064c00,1,
0x064c10,1,
0x064c20,1,
0x064c30,1,
0x064c40,1,
0x064c50,1,
0x064c60,1,
0x064c70,1,
0x064c80,1,
0x064c90,1,
0x064ca0,1,
0x064cb0,1,
0x064cc0,1,
0x064cd0,1,
0x064ce0,1,
0x064cf0,1,
0x064d00,1,
0x064d10,1,
0x064d20,1,
0x064d30,1,
0x064d40,1,
0x064d50,1,
0x064d60,1,
0x064d70,1,
0x064d80,1,
0x064d90,1,
0x064da0,1,
0x064db0,1,
0x064dc0,1,
0x064dd0,1,
0x064de0,1,
0x064df0,1,
0x064e00,1,
0x064e10,1,
0x064e20,1,
0x064e30,1,
0x064e40,1,
0x064e50,1,
0x064e60,1,
0x064e70,1,
0x064e80,1,
0x064e90,1,
0x064ea0,1,
0x064eb0,1,
0x064ec0,1,
0x064ed0,1,
0x064ee0,1,
0x064ef0,1,
0x064f00,1,
0x064f10,1,
0x064f20,1,
0x064f30,1,
0x064f40,1,
0x064f50,1,
0x064f60,1,
0x064f70,1,
0x064f80,1,
0x064f90,1,
0x064fa0,1,
0x064fb0,1,
0x064fc0,1,
0x064fd0,1,
0x064fe0,1,
0x064ff0,1,
0x065000,8,
0x066000,5,
0x066020,1,
0x066030,1,
0x066040,1,
0x066050,1,
0x066060,1,
0x066070,1,
0x066080,1,
0x066090,1,
0x0660a0,1,
0x0660b0,1,
0x0660c0,1,
0x0660d0,1,
0x0660e0,1,
0x0660f0,1,
0x066100,1,
0x066110,1,
0x066120,1,
0x066130,1,
0x066140,1,
0x066150,1,
0x066160,1,
0x066170,1,
0x066180,1,
0x066190,1,
0x0661a0,1,
0x0661b0,1,
0x0661c0,1,
0x0661d0,1,
0x0661e0,1,
0x0661f0,1,
0x066200,1,
0x066210,1,
0x066220,1,
0x066230,1,
0x066240,1,
0x066250,1,
0x066260,1,
0x066270,1,
0x066280,1,
0x066290,1,
0x0662a0,1,
0x0662b0,1,
0x0662c0,1,
0x0662d0,1,
0x0662e0,1,
0x0662f0,1,
0x066300,1,
0x066310,1,
0x066320,1,
0x066330,1,
0x066340,1,
0x066350,1,
0x066360,1,
0x066370,1,
0x066380,1,
0x066390,1,
0x0663a0,1,
0x0663b0,1,
0x0663c0,1,
0x0663d0,1,
0x0663e0,1,
0x0663f0,1,
0x066400,1,
0x066410,1,
0x066420,1,
0x066430,1,
0x066440,1,
0x066450,1,
0x066460,1,
0x066470,1,
0x066480,1,
0x066490,1,
0x0664a0,1,
0x0664b0,1,
0x0664c0,1,
0x0664d0,1,
0x0664e0,1,
0x0664f0,1,
0x066500,1,
0x066510,1,
0x066520,1,
0x066530,1,
0x066540,1,
0x066550,1,
0x066560,1,
0x066570,1,
0x066580,1,
0x066590,1,
0x0665a0,1,
0x0665b0,1,
0x0665c0,1,
0x0665d0,1,
0x0665e0,1,
0x0665f0,1,
0x066600,1,
0x066610,1,
0x066620,1,
0x066630,1,
0x066640,1,
0x066650,1,
0x066660,1,
0x066670,1,
0x066680,1,
0x066690,1,
0x0666a0,1,
0x0666b0,1,
0x0666c0,1,
0x0666d0,1,
0x0666e0,1,
0x0666f0,1,
0x066700,1,
0x066710,1,
0x066720,1,
0x066730,1,
0x066740,1,
0x066750,1,
0x066760,1,
0x066770,1,
0x066780,1,
0x066790,1,
0x0667a0,1,
0x0667b0,1,
0x0667c0,1,
0x0667d0,1,
0x0667e0,1,
0x0667f0,1,
0x066800,1,
0x066810,1,
0x066820,1,
0x066830,1,
0x066840,1,
0x066850,1,
0x066860,1,
0x066870,1,
0x066880,1,
0x066890,1,
0x0668a0,1,
0x0668b0,1,
0x0668c0,1,
0x0668d0,1,
0x0668e0,1,
0x0668f0,1,
0x066900,1,
0x066910,1,
0x066920,1,
0x066930,1,
0x066940,1,
0x066950,1,
0x066960,1,
0x066970,1,
0x066980,1,
0x066990,1,
0x0669a0,1,
0x0669b0,1,
0x0669c0,1,
0x0669d0,1,
0x0669e0,1,
0x0669f0,1,
0x066a00,1,
0x066a10,1,
0x066a20,1,
0x066a30,1,
0x066a40,1,
0x066a50,1,
0x066a60,1,
0x066a70,1,
0x066a80,1,
0x066a90,1,
0x066aa0,1,
0x066ab0,1,
0x066ac0,1,
0x066ad0,1,
0x066ae0,1,
0x066af0,1,
0x066b00,1,
0x066b10,1,
0x066b20,1,
0x066b30,1,
0x066b40,1,
0x066b50,1,
0x066b60,1,
0x066b70,1,
0x066b80,1,
0x066b90,1,
0x066ba0,1,
0x066bb0,1,
0x066bc0,1,
0x066bd0,1,
0x066be0,1,
0x066bf0,1,
0x066c00,1,
0x066c10,1,
0x066c20,1,
0x066c30,1,
0x066c40,1,
0x066c50,1,
0x066c60,1,
0x066c70,1,
0x066c80,1,
0x066c90,1,
0x066ca0,1,
0x066cb0,1,
0x066cc0,1,
0x066cd0,1,
0x066ce0,1,
0x066cf0,1,
0x066d00,1,
0x066d10,1,
0x066d20,1,
0x066d30,1,
0x066d40,1,
0x066d50,1,
0x066d60,1,
0x066d70,1,
0x066d80,1,
0x066d90,1,
0x066da0,1,
0x066db0,1,
0x066dc0,1,
0x066dd0,1,
0x066de0,1,
0x066df0,1,
0x066e00,1,
0x066e10,1,
0x066e20,1,
0x066e30,1,
0x066e40,1,
0x066e50,1,
0x066e60,1,
0x066e70,1,
0x066e80,1,
0x066e90,1,
0x066ea0,1,
0x066eb0,1,
0x066ec0,1,
0x066ed0,1,
0x066ee0,1,
0x066ef0,1,
0x066f00,1,
0x066f10,1,
0x066f20,1,
0x066f30,1,
0x066f40,1,
0x066f50,1,
0x066f60,1,
0x066f70,1,
0x066f80,1,
0x066f90,1,
0x066fa0,1,
0x066fb0,1,
0x066fc0,1,
0x066fd0,1,
0x066fe0,1,
0x066ff0,1,
0x067000,16,
0x067100,8,
0x067124,7,
0x067144,7,
0x067200,3,
0x0677f8,2,
0x068000,7,
0x068020,6,
0x06803c,32,
0x0680c0,3,
0x0680d0,6,
0x0680f0,2,
0x068100,3,
0x068118,1,
0x068120,2,
0x068130,2,
0x068140,2,
0x068150,24,
0x0681c0,7,
0x068200,7,
0x068220,6,
0x06823c,32,
0x0682c0,3,
0x0682d0,6,
0x0682f0,2,
0x068300,3,
0x068318,1,
0x068320,2,
0x068330,2,
0x068340,2,
0x068350,24,
0x0683c0,7,
0x068400,7,
0x068420,6,
0x06843c,32,
0x0684c0,3,
0x0684d0,6,
0x0684f0,2,
0x068500,3,
0x068518,1,
0x068520,2,
0x068530,2,
0x068540,2,
0x068550,24,
0x0685c0,7,
0x068900,4,
0x068920,1,
0x068940,4,
0x068960,1,
0x068980,4,
0x0689a0,1,
0x0689c0,4,
0x0689e0,1,
0x068a00,4,
0x068a20,1,
0x068a40,4,
0x068a60,1,
0x068a80,4,
0x068aa0,1,
0x068ac0,4,
0x068ae0,1,
0x068b20,13,
0x068b60,13,
0x068ba0,2,
0x068c40,1,
0x068c64,5,
0x068c84,5,
0x068ca4,1,
0x068cac,3,
0x068cc4,1,
0x068ccc,3,
0x068ce0,1,
0x068d00,13,
0x068d40,7,
0x068d60,12,
0x069000,19,
0x069050,7,
0x0690a0,2,
0x0690c0,15,
0x069100,3,
0x069140,13,
0x069180,13,
0x0691c0,12,
0x069240,2,
0x069260,1,
0x069280,22,
0x069300,22,
0x069380,22,
0x069400,22,
0x069480,22,
0x069500,22,
0x069580,22,
0x069600,22,
0x069680,11,
0x069800,130,
0x069b20,2,
0x069c00,16,
0x069d00,27,
0x069d84,1,
0x069d94,10,
0x06a000,12,
0x06a038,14,
0x06a080,6,
0x06a0a0,2,
0x06a100,12,
0x06a138,14,
0x06a180,6,
0x06a1a0,2,
0x06a200,27,
0x06a284,1,
0x06a290,13,
0x06a2d0,4,
0x06a300,7,
0x06a400,10,
0x06a480,10,
0x06a500,15,
0x06a540,12,
0x06a580,4,
0x06a594,2,
0x06a5a0,6,
0x06a600,11,
0x06a630,8,
0x06a800,73,
0x06a930,3,
0x06aa00,59,
0x06aaf0,3,
0x06ac00,8,
0x06b000,35,
0x06bc00,10,
0x06bc80,3,
0x070b00,14,
0x070b40,14,
0x070b84,1,
0x070c00,1,
0x070c10,3,
0x070c40,2,
0x070c50,8,
0x071000,7,
0x072000,7,
0x073000,114,
0x0731d0,3,
0x0731e0,3,
0x0731f0,3,
0x073200,2,
0x073210,1,
0x073218,5,
0x073230,1,
0x073240,7,
0x073260,40,
0x073338,15,
0x073380,2,
0x074000,4,
0x074044,7,
0x074080,9,
0x074100,48,
0x076000,2048,
0x078004,1,
0x078020,17,
0x078070,9,
0x0780a0,7,
0x0780c0,12,
0x078100,12,
0x078140,7,
0x078180,8,
0x07fa00,6,
0x07fa80,3,
0x07fa90,10,
0x07fac0,4,
0x080000,12,
0x080040,524,
0x080880,268,
0x080cc0,2572,
0x083500,524,
0x083d40,524,
0x084580,268,
0x0849c0,268,
0x084e00,268,
0x085240,302,
0x090000,19,
0x090080,16,
0x090100,4,
0x090400,19,
0x090480,16,
0x090500,4,
0x090800,19,
0x090880,16,
0x090900,4,
0x090c00,19,
0x090c80,16,
0x090d00,4,
0x091000,19,
0x091080,16,
0x091100,4,
0x091400,19,
0x091480,16,
0x091500,4,
0x091800,19,
0x091880,16,
0x091900,4,
0x091c00,19,
0x091c80,16,
0x091d00,4,
0x092000,19,
0x092080,16,
0x092100,4,
0x092400,19,
0x092480,16,
0x092500,4,
0x092800,19,
0x092880,16,
0x092900,4,
0x092c00,19,
0x092c80,16,
0x092d00,4,
0x093000,19,
0x093080,16,
0x093100,4,
0x093400,19,
0x093480,16,
0x093500,4,
0x093800,19,
