#Addr, Size, Enable addr
0x040000,1452,
0x042000,2,
0x042040,9,
0x042080,8,
0x044000,1452,
0x046000,39,
0x0460a0,21,
0x046100,2,
0x046110,6,
0x046130,3,
0x046200,39,
0x0462a0,21,
0x046300,2,
0x046310,6,
0x046330,3,
0x046400,7,
0x046420,7,
0x046440,7,
0x046460,7,
0x046480,7,
0x0464a0,7,
0x0464c0,7,
0x0464e0,7,
0x046500,61,
0x0465f8,4,
0x047000,22,
0x047080,22,
0x047100,22,
0x047180,22,
0x047200,22,
0x047280,22,
0x047300,22,
0x047380,22,
0x047400,98,
0x047600,1,
0x047608,6,
0x047680,4,
0x0476c0,10,
0x047700,4,
0x047740,10,
0x047780,1,
0x047800,11,
0x047840,18,
0x0478a0,6,
0x0478c0,6,
0x0478e0,3,
0x0478f0,1,
0x0478f8,6,
0x048000,1,
0x048080,5,
0x0480a4,5,
0x0480c4,1,
0x0480cc,3,
0x0480e4,1,
0x0480ec,3,
0x048100,5,
0x048124,5,
0x048144,1,
0x04814c,3,
0x048164,1,
0x04816c,3,
0x048180,6,
0x048800,332,
0x049000,148,
0x049400,29,
0x049484,1,
0x049494,18,
0x049500,19,
0x049580,17,
0x049600,6,
0x049620,4,
0x049800,79,
0x049a00,44,
0x049c00,96,
0x049d84,1,
0x049d90,4,
0x049e00,64,
0x049f04,2,
0x049f10,4,
0x04a000,28,
0x04b000,3,
0x04b010,3,
0x04b020,3,
0x04b030,3,
0x04b040,3,
0x04b050,3,
0x04b060,3,
0x04b070,3,
0x04b080,3,
0x04b090,3,
0x04b0a0,3,
0x04b0b0,3,
0x04b0c0,3,
0x04b0d0,3,
0x04b0e0,3,
0x04b0f0,3,
0x04b100,3,
0x04b110,3,
0x04b120,3,
0x04b130,3,
0x04b140,3,
0x04b150,3,
0x04b160,3,
0x04b170,3,
0x04b180,3,
0x04b190,3,
0x04b1a0,3,
0x04b1b0,3,
0x04b1c0,3,
0x04b1d0,3,
0x04b1e0,3,
0x04b1f0,3,
0x04b200,8,
0x04b400,1,
0x04b40c,4,
0x04b420,3,
0x04b430,3,
0x04b440,3,
0x04b450,3,
0x04b460,3,
0x04b470,3,
0x04b480,3,
0x04b490,3,
0x04b4a0,3,
0x04b4b0,3,
0x04b4c0,3,
0x04b4d0,3,
0x04b4e0,3,
0x04b4f0,3,
0x04b500,3,
