#Addr, Size, Enable addr
0x000050,45,
0x000fc0,3,
0x002000,133,
0x004000,767,
0x005000,767,
0x006000,382,
0x007000,767,
0x008000,767,
0x009000,767,
0x00a000,382,
0x00b000,767,
0x00c000,767,
0x00d000,767,
0x00e000,382,
0x00f000,767,
0x010000,767,
0x011000,767,
0x012000,382,
0x013000,767,
0x014000,767,
0x015000,767,
0x016000,382,
0x017000,767,
0x018000,767,
0x019000,767,
0x01a000,382,
0x01b000,767,
0x01c000,767,
0x01d000,767,
0x01e000,382,
0x01f000,767,
0x020000,767,
0x021000,767,
0x022000,382,
0x023000,767,
0x024000,767,
0x025000,767,
0x026000,382,
0x027000,767,
0x02a004,1,
0x02a080,36,
0x02a114,13,
0x02a200,8,
0x02a240,10,
