#Addr, Size, Enable addr
0x000000,1,
0x000010,2,
0x000020,3,
0x000030,7,
0x000100,7,
0x000120,3,
0x000130,2,
0x000404,1,
0x000414,3,
0x000424,1,
0x00042c,10,
0x000460,11,
0x000490,7,
0x0004b0,4,
0x0004c4,1,
0x0004cc,6,
0x0004f0,2,
0x000500,5,
0x000520,33,
0x0005b0,6,
0x000a00,1,
0x000a08,7,
0x000a2c,38,
0x000ac8,12,
0x000b00,1,
0x000b10,2,
0x000b20,8,
0x000b44,1,
0x000b60,8,
0x000b84,1,
0x000b94,3,
0x000ba4,1,
0x000bac,1,
0x000bb4,1,
0x000bbc,4,
0x000bd0,7,
0x000bf0,15,
0x000c30,6,
0x000c60,14,
0x000d04,1,
0x000d24,9,
0x000d60,1,
0x000d70,2,
0x000da0,2,
0x000db4,1,
0x000dbc,4,
0x000dd0,7,
0x000df0,15,
0x000e30,5,
0x000e60,14,
0x000f60,1,
0x000f70,2,
0x000fa0,2,
0x000fb4,1,
0x000fbc,4,
0x000fd0,7,
0x000ff0,132,
0x001204,1,
0x00121c,9,
0x001284,3,
0x001294,3,
0x001300,10,
0x00132c,10,
0x001500,3,
0x001520,25,
0x001594,13,
0x0015cc,6,
0x0015fc,2,
0x001610,2,
0x001804,1,
0x001814,3,
0x001824,1,
0x00182c,10,
0x001860,11,
0x001890,7,
0x0018b0,4,
0x0018c4,1,
0x0018cc,6,
0x0018f0,2,
0x001900,5,
0x001920,49,
0x001c04,1,
0x001c10,24,
0x001c80,1,
0x001c90,2,
0x001ca0,1,
0x001cb0,2,
0x001cc8,5,
0x001d00,22,
0x002004,14,
0x002040,7,
0x00206c,3,
0x0021fc,97,
0x002400,96,
0x002600,96,
0x003000,20,
0x003064,3,
0x003074,2,
0x003080,20,
0x0030e4,3,
0x0030f4,2,
0x003100,20,
0x003164,3,
0x003174,2,
0x003180,20,
0x0031e4,3,
0x0031f4,2,
0x003200,20,
0x003264,3,
0x003274,2,
0x003280,1,
0x003400,20,
0x003464,3,
0x003474,2,
0x003480,20,
0x0034e4,3,
0x0034f4,2,
0x003500,20,
0x003564,3,
0x003574,2,
0x003580,20,
0x0035e4,3,
0x0035f4,2,
0x003600,20,
0x003664,3,
0x003674,2,
0x003680,20,
0x0036e4,3,
0x0036f4,2,
0x003700,1,
0x003804,12,
0x003840,5,
0x00385c,13,
0x003900,3,
0x003910,7,
0x003930,4,
0x003944,1,
0x003954,3,
0x003964,4,
0x003978,5,
0x003990,2,
0x003a00,77,
0x003c00,31,
0x003c80,7,
0x003ca0,33,
0x003d40,6,
0x003d64,1,
0x003d70,16,
0x003dc0,14,
0x003e04,57,
0x004000,2,
0x004018,2,
0x004034,2,
0x004104,6,
0x004134,2,
0x00414c,1,
0x004170,3,
0x004200,1,
0x004210,2,
0x004220,1,
0x004230,2,
0x0042c0,1,
0x004400,64,
0x008000,1,
0x008010,2,
0x008020,3,
0x008030,7,
0x008100,7,
0x008120,3,
0x008130,2,
0x008404,1,
0x008414,3,
0x008424,1,
0x00842c,10,
0x008460,11,
0x008490,7,
0x0084b0,4,
0x0084c4,1,
0x0084cc,6,
0x0084f0,2,
0x008500,5,
0x008520,33,
0x0085b0,6,
0x008a00,1,
0x008a08,7,
0x008a2c,38,
0x008ac8,12,
0x008b00,1,
0x008b10,2,
0x008b20,8,
0x008b44,1,
0x008b60,8,
